ID,COMMENT,CLASSE
60,"I Live in Camarillo, that’s where they house their jets. Kylie isn’t on the jet from van nuys to Camarillo.",scrollTriggerFade section CELEBRITIES
61,we need flight minimums. 30 minute flights minimum,scrollTriggerFade section UNDEFINED
62,Let’s hear what they have to say. @Kylie Jenner chain?,scrollTriggerFade section CELEBRITIES
63,and yet we need electric cars,scrollTriggerFade section EVERYDAY
64,LA traffic. That small “car ride” is actually 1 hr,scrollTriggerFade section UNDEFINED
65,Tbh in Vegas there both like a 3 mins jet ride,scrollTriggerFade section CELEBRITIES
66,Rich people,scrollTriggerFade section RICH
67,not to mention jet fuel is leaded. it ain't just CO2 they're dumping but lead as well,scrollTriggerFade section ROUTINE
68,I’m just curious what she’s doing in Camarillo 4 x a week,scrollTriggerFade section CELEBRITIES
69,Was she actually on the flight or maybe they were moving the aircraft for maintenance or something. I'd like to see longer logs.,scrollTriggerFade section ROUTINE
70,It wasn't 3 minutes,scrollTriggerFade section CELEBRITIES
71,"No rules for the rich, are you barely realizing this?",scrollTriggerFade section RICH
72,"Kylie’s factory is in Oxnard, a 30 min drive from Calabasas. It’s a 20-30 minute drive from Calabasas to Van Nuys. Why not just drive???",scrollTriggerFade section CELEBRITIES
73,"That’s not even one end of la, that’s the middle of the valley to the other end of the valley basically. Downtown la is 20 miles east of van Nuys lol",scrollTriggerFade section CELEBRITIES
74,The Great Gatsby is now and we are not part of the rich... we are the people that get hit by the car and have it covered up...,scrollTriggerFade section UNDEFINED
75,This might be for maintenance and storage for the plane. Could be just the pilot,scrollTriggerFade section ROUTINE
76,I’ve literally taken that flight with Kylie 😅,scrollTriggerFade section UNDEFINED
77,I dont mind personal jet flights but the 3 minutes is literally evil,scrollTriggerFade section CELEBRITIES
78,They use jets and helicopters for short trips all the time for some reason 😂,scrollTriggerFade section CELEBRITIES
79,Van Nuys wait wha ? 😂😂 .. she down the block,scrollTriggerFade section CELEBRITIES
80,what about the time it takes to get to the jet port? It might be faster to drive at that point,scrollTriggerFade section CELEBRITIES
81,"Camarillo to Van Nuys is about 40 miles😂. Her house is only 15 miles from Van Nuys, so why??",scrollTriggerFade section CELEBRITIES
82,All Hollywood,scrollTriggerFade section CELEBRITIES
83,Is 1 hour with no traffic,scrollTriggerFade section EVERYDAY
84,Imagine tracking other peoples moves day to day lmao,scrollTriggerFade section RICH
85,la traffic??,scrollTriggerFade section EVERYDAY
86,"Not gonna gonna lie, if I had that kinda money, I’d do it",scrollTriggerFade section RICH
87,but our car emissions is wrong😂,scrollTriggerFade section UNDEFINED
88,Now ai understand why we never bump into famous people on the highway,scrollTriggerFade section RICH
89,I think they do it so there’s no paparazzi but still the more co2 emissions 😂,scrollTriggerFade section POLLUTION
90,Well actually climate change isn’t that real 😅,scrollTriggerFade section POLLUTION
91,doesn’t it take longer to get to the airport in Camarillo and board the jet?,scrollTriggerFade section UNDEFINED
92,i mean if i was rich i’d do that too,scrollTriggerFade section RICH
93,Ok but that 3 min flight has gotta be 1HR drive,scrollTriggerFade section UNDEFINED
94,Plus you have to drive to the airport,scrollTriggerFade section UNDEFINED
95,Hank jr said it best “don’t tell me to a ride a bus and turn down my thermostat when you’re all running around in jets and Cadillac’s”,scrollTriggerFade section UNDEFINED
96,bruh what's the point of a 3min flight😂like doesn't Mayweather and Kylie have like 30 cars they could drive?,scrollTriggerFade section UNDEFINED
97,Most of the time those super short flights are just repositioning the plane.,scrollTriggerFade section ROUTINE
98,"the same goes for rich people saying ""live within your means"" yeah 👍👍👍",scrollTriggerFade section RICH
99,And they’re the same people telling us we’re the problem with pollution,scrollTriggerFade section UNDEFINED
100,my walk to work every day is 4x the duration of that plane ride,scrollTriggerFade section CELEBRITIES
101,20 minute car ride in Los Angeles is more like and 1 -4 hour drive depending on the day and time. 😂,scrollTriggerFade section UNDEFINED
102,This is why I keep saying it’s about MONEY AND POWER privilege. That’s the real thing everyone should be talking about.,scrollTriggerFade section RICH
103,yeah anytime i see a celebrity trying to talk about world problems i usually just ignore them,scrollTriggerFade section UNDEFINED
104,explaination for flights like these: there is a customs office in van nuys but not camarillo. they don’t land in camarillo -,scrollTriggerFade section CELEBRITIES
105,"The rich fly planes with less than 10 people anywhere everyday, then we get told that we shouldn't drive as much and to carpool",scrollTriggerFade section UNDEFINED
106,"They fly into one airport, then the pilots fly (with an empty plane) to an airport with cheaper parking and gas",scrollTriggerFade section UNDEFINED
107,Kylie has her makeup warehouse in Oxnard which is 10 minutes from Camarillo,scrollTriggerFade section UNDEFINED
108,"I could see the use of a helicopter in this circumstance, but a jet… Not sure why the charter company would even agree to a 3min flight.",scrollTriggerFade section ROUTINE
109,What if its a test flight,scrollTriggerFade section ROUTINE
110,All the LA elite store their jets at that airport just an FYI,scrollTriggerFade section UNDEFINED
111,They’re probably just doing maintenance my guy,scrollTriggerFade section ROUTINE
112,meanwhile i’m at the bar digging dissolved paper out of my vodka cranberry becasue we can’t use plastic straws anymore,scrollTriggerFade section EVERYDAY
113,@Kylie Jenner 🫠🫠,scrollTriggerFade section CELEBRITIES
114,"It’s probably just for storing the jets or maintenance, it wouldn’t be cost effective to take 4 min flights…",scrollTriggerFade section ROUTINE
115,"As someone who grew up in that area she is straight up just beating the traffic 😂😂😂 I dated a guy in Camarillo and lived in Encino, saving 2 hours",scrollTriggerFade section UNDEFINED
116,imagine what politicians do on our tax payer money 😳,scrollTriggerFade section RICH
117,They’re rechartering the jet or just have it in a hanger at camarillo. Van Nuys hangers are way more expensive than camarillo.,scrollTriggerFade section CELEBRITIES
118,LA traffic pretty bad tho,scrollTriggerFade section EVERYDAY
119,It’s our fault for putting celebrities on a pedestal.,scrollTriggerFade section UNDEFINED
120,@kyliejenner explain yourself MA'AM. THAT'S NOT HEALTHY FOR MOTHER EARTH,scrollTriggerFade section UNDEFINED
121,That 3 minute flight would take 2+ hours in traffic. That airport trip is like 30/45 mins in Vegas traffic especially on a weekend. Time is money.,scrollTriggerFade section UNDEFINED
122,She’s not flying from one end to the other 🙄 the plane is repositioning for it’s next leg. It’s not allowed to park forever.,scrollTriggerFade section ROUTINE
123,REUSE RECYCLE REVOLT,scrollTriggerFade section EVERYDAY
124,Further proof that it’s ridiculous companies make it feel like our fault for global warming when the rich of the rich continuously pull these stunts,scrollTriggerFade section UNDEFINED
125,"rich people need to start donating their money or dying, and tbh I don't care which",scrollTriggerFade section RICH
126,Rich people die challenge 🥰,scrollTriggerFade section RICH
127,when do we eat the celebrities. 3 minute flight?!?!,scrollTriggerFade section UNDEFINED
128,End capitalism,scrollTriggerFade section RICH
129,"I’m pretty sure that one three minute plane ride is worth like 10,000 plastic bottles thrown in the ocean",scrollTriggerFade section UNDEFINED
130,def recycle cans though they are infinitely recyclable. Plastic bottles usually aren't.,scrollTriggerFade section EVERYDAY
131,That's just what Rich people do. Cause the issues they later blame others for and stand idly by while we clean up their mess.,scrollTriggerFade section RICH
132,There is way way way way way way way way WAY WAY too much money in entertainment. It’s disgusting.,scrollTriggerFade section RICH
133,Rich people don’t follow the commoners laws,scrollTriggerFade section RICH
134,she keeps her jet at CMA and they fly it to VNY to pick her up. doesn’t make it any less ridiculous hahaha,scrollTriggerFade section ROUTINE
135,Rich people are a plague,scrollTriggerFade section RICH
136,Will never stop. Rich entitled and little people keep buying their shit.,scrollTriggerFade section RICH
137,they want us to fix the world when the 1% is causing the most problems😭😭😭😭😭😭😭,scrollTriggerFade section POLLUTION
138,At best 5% of all your recycling is actually recycled. REDUCE & REUSE only. “Carbon Footprint” was coined by corporations to shift the blame to us.,scrollTriggerFade section UNDEFINED
139,Nah flying to Boulder City is wild💀,scrollTriggerFade section ROUTINE
140,You are now the celebrity plane man on TikTok,scrollTriggerFade section CELEBRITIES
141,70% of all world emissions are produced by only 100 companies.,scrollTriggerFade section POLLUTION
142,I love how you made this about the turtles 😂😂😂😂 no but rich people are actually the worst,scrollTriggerFade section UNDEFINED
143,Meanwhile they endorse climate change/global warming propaganda 😂😂😂 people need to wake up.,scrollTriggerFade section UNDEFINED
144,Plastic is still harmful. And also aluminum cans are ultimate form of container for environment. Besides reusable ofc :) screw those rich snobs though,scrollTriggerFade section UNDEFINED
145,Find Leo’s jet travel,scrollTriggerFade section CELEBRITIES
146,I live near this town. It’s an hour to 1 1/2 to get to LA. But seriously I see your point in this. Ridiculous,scrollTriggerFade section UNDEFINED
147,It may not necessarily be THAT celebrity in their PJ. But it’s still ridiculous that anyone is taking 10 min flights…,scrollTriggerFade section CELEBRITIES
148,Camarillo ain’t LA it’s Ventura county dog,scrollTriggerFade section CELEBRITIES
149,rich ppl are different kind of evil,scrollTriggerFade section RICH
150,"well, if people would stop buying into their Bs… but ya know… 😏 they won’t",scrollTriggerFade section RICH
151,They don’t go through bag check,scrollTriggerFade section EVERYDAY
152,Omg people blow this up- everyone has to know,scrollTriggerFade section RICH
153,more of a waste of fuel than an emissions problem planes arent that big of an issue,scrollTriggerFade section UNDEFINED
154,cAPiTaLiSm 😬,scrollTriggerFade section RICH
155,CO2 is good foe the planet. Makes plants grow.,scrollTriggerFade section POLLUTION
156,@Kylie Jenner tsk tsk,scrollTriggerFade section CELEBRITIES
157,The TURTLES 🐢 🤬,scrollTriggerFade section POLLUTION
158,Those jets are tax write off’s too 😳,scrollTriggerFade section RICH
159,rich people tell poor people that poor people are the problem so that the poor people don't see their rich gods as the problem,scrollTriggerFade section RICH
160,Look into government officials! They travel so much and on our dime!,scrollTriggerFade section RICH
161,It's cool Starbucks started having starahs that are plastic,scrollTriggerFade section EVERYDAY
162,Even conserving water here in CA. They tell us we can't water plants during the day and I see sprinklers on in rich areas even when it's raining 😑,scrollTriggerFade section UNDEFINED
163,@kyliejenner girl you got some explaining to do,scrollTriggerFade section CELEBRITIES
164,We don’t even matter China and India’s pollution will end the planet not America,scrollTriggerFade section POLLUTION
165,plot twist you know that ozone is getting better so you don't waste time tracking celebrities in your spare time...,scrollTriggerFade section UNDEFINED
166,fly cars do exist. lol,scrollTriggerFade section UNDEFINED
167,traffic be packed,scrollTriggerFade section EVERYDAY
168,Like Leo’s yacht 😏,scrollTriggerFade section CELEBRITIES
169,Cancel the rich. 😅🥴,scrollTriggerFade section RICH
170,"Rules for thee, but not for me.",scrollTriggerFade section RICH
171,yeah..look up their water use....,scrollTriggerFade section EVERYDAY
172,La traffic be crazy i wouldnt blame her,scrollTriggerFade section EVERYDAY
173,"Rules for Thee, not for me!",scrollTriggerFade section RICH
174,Not the turtles 😭,scrollTriggerFade section POLLUTION
175,recycle cans 🤣,scrollTriggerFade section EVERYDAY
176,California is special,scrollTriggerFade section EVERYDAY
177,"They aren't telling you only to recycle cans, they are telling millions of people to recycle cans. Millions up people vs flights by 10s of celebrities",scrollTriggerFade section UNDEFINED
178,2/3 hours in traffic..I would fly too,scrollTriggerFade section UNDEFINED
179,it's the rich that destroy the world,scrollTriggerFade section UNDEFINED
180,LA traffic do be pretty bad tho,scrollTriggerFade section EVERYDAY
181,It’s called repositioning a plane lol,scrollTriggerFade section ROUTINE
182,Understand people the more you save and the more you protect the more they can get to splurge!!!! Don’t believe their propaganda people!!!,scrollTriggerFade section RICH
183,"camarillo is not LA, its ventura county. She didn’t want to cross county lines in her car",scrollTriggerFade section UNDEFINED
184,"You better use that paper straw, you know better",scrollTriggerFade section EVERYDAY
185,"That’s very “environmental” of them, love that.",scrollTriggerFade section POLLUTION
186,Ventura County ain’t LA bruh,scrollTriggerFade section CELEBRITIES
187,is that to the airport with all thr creepy businesses around it?,scrollTriggerFade section ROUTINE
188,"Burns more fuel in one trip, than a farmer uses all year",scrollTriggerFade section ROUTINE
189,commenting so this stays active! we need to start feeing the rich!,scrollTriggerFade section RICH
190,"They pretend to care about the environmental crisis, but they are the ones causing it!",scrollTriggerFade section POLLUTION
191,Someone oughta get a protest (better yet a riot) together at one of these celebs private jets,scrollTriggerFade section CELEBRITIES
192,"shoot if I had a jet, id use it like a car too lol",scrollTriggerFade section EVERYDAY
193,Yet cali let’s these unnecessary short trips happen when they push hard on being green? Lmao,scrollTriggerFade section POLLUTION
194,"leftist elites moto, rules for thee but not for me.",scrollTriggerFade section RICH
195,"yeah i’ll do my best to me a conscious consumer but i don’t give af anymore, the elite are the ones destroying our planet",scrollTriggerFade section UNDEFINED
196,The rich need to pay a carbon tax,scrollTriggerFade section UNDEFINED
197,That is not a 20min ride - 45 minutes minimum & narly traffic.,scrollTriggerFade section UNDEFINED
198,rich ppl don’t care abt the environment climate or others 😏,scrollTriggerFade section UNDEFINED
199,@Nick Watts it’s cause they are rich and call it a “business expense”,scrollTriggerFade section RICH
200,Did those particular celebs promote save the environment?,scrollTriggerFade section CELEBRITIES
201,lol and we're the ones who have to change to better our environment,scrollTriggerFade section POLLUTION
202,Don’t mention tahoe we don’t want people knowing about it,scrollTriggerFade section RICH
203,Paper straws can sux my reusable bees wax,scrollTriggerFade section EVERYDAY
204,Keep tracking keep posting keep stoking the fire🔥🔥🙌🏼,scrollTriggerFade section POLLUTION
205,"Rules for thee, but not for me. Politicians and celebrities love to scold you for the way you live but they do the opposite",scrollTriggerFade section UNDEFINED
206,I think there's a lot of reasons why those planes could be going those places,scrollTriggerFade section ROUTINE
207,Rules for thee butnot for me…..,scrollTriggerFade section RICH
208,but we should have travel restriction for emissions???,scrollTriggerFade section POLLUTION
209,And ppl watch and jnow this laugh and still praise those trash ass celebs dgaf about nothing,scrollTriggerFade section UNDEFINED
210,But traffic is tErRible!,scrollTriggerFade section EVERYDAY
211,I live under the flight path her plane flies over my house every day,scrollTriggerFade section ROUTINE
212,It wasn’t possible to loathe those people more than I already did until I saw this.,scrollTriggerFade section RICH
213,If you had the money to do that you will be doing the same thing it’s just we’re broke so we’re complaining about it.,scrollTriggerFade section RICH
214,Have you seen the traffic in la . Everyone in a la would do exactly the same thing,scrollTriggerFade section EVERYDAY
215,You want the government to stop them from flying on their own jets that they bought?,scrollTriggerFade section UNDEFINED
216,But celebrities are the first ones to #save the turtles We all need to boycott Hollywood that’s what needs to happen,scrollTriggerFade section UNDEFINED
217,someone get the turtles a plane already 🐢🛩,scrollTriggerFade section POLLUTION
218,The fuel the contamination,scrollTriggerFade section ROUTINE
219,"Yep! They push the responsibility onto us & it’s a scam. Average ppl do not have the ability to do this kind of damage. Instead, we need to fight this",scrollTriggerFade section UNDEFINED
220,Literally the world is going to end because of all the carbon being emitted and the Harkles lecture US on cutting back??? 🙃,scrollTriggerFade section POLLUTION
221,This could have been maintenance flight without anyone onboard,scrollTriggerFade section ROUTINE
222,1st sharks now planes what else can we track,scrollTriggerFade section ROUTINE
223,meanwhile I be feeling bad when I don't recycle a plastic bottle 😕,scrollTriggerFade section EVERYDAY
224,someone should make a graph of celebrity popularity,scrollTriggerFade section CELEBRITIES
225,We need to start carrying signs at private airports instead of empty courthouses,scrollTriggerFade section ROUTINE
226,And here I am being asked to round up my dollar for the sea turtles,scrollTriggerFade section POLLUTION
227,“The turtles” had me fucking dead,scrollTriggerFade section POLLUTION
228,Plastic pollution and CO2 Emission are separate issues. Both impact the environment and both r important,scrollTriggerFade section UNDEFINED
229,"just because her jet flew there doesn’t mean she does, it was likely just the pilots pilots taking it back to a hangar at a smaller airport",scrollTriggerFade section ROUTINE
230,wait until you find out how much water they consume during times of record drought 😳,scrollTriggerFade section EVERYDAY
231,Probably empty repositioning flights. More than a third of the flights I pilot are.,scrollTriggerFade section ROUTINE
232,"While I have little faith in our representatives, but perhaps we ban short distance private flights?",scrollTriggerFade section POLLUTION
233,Mayweather was being transported for maintenance,scrollTriggerFade section ROUTINE
234,The jack nichols one is okay the other two aren’t lol,scrollTriggerFade section CELEBRITIES
235,A reminder that 100 companies account for 70% of all CO2 emissions and the US military is the largest polluter on the planet,scrollTriggerFade section POLLUTION
236,Anytime anyone of them posts something about climate change imma link the tik tok,scrollTriggerFade section POLLUTION
237,She acts like she is so important that she can't take a car ride? Disgusting.,scrollTriggerFade section UNDEFINED
238,@kyliejenner 🥰 eco destroying queen,scrollTriggerFade section CELEBRITIES
239,"buddy your picking at the low hanging fruit. the elite fly everywhere it's not just celebrities, shot for high don't be scared 😁",scrollTriggerFade section UNDEFINED
240,The rules don’t apply to elites. Ya’ll didn’t figure this out ?,scrollTriggerFade section RICH
241,mayweather never told anybody to recycle or use paper strws. hahaha,scrollTriggerFade section EVERYDAY
242,And our daily emissions are killing the planet eh? Couldn’t be celebs having dumpster fires full of cash every night?,scrollTriggerFade section UNDEFINED
243,"You have obviously never drove around LA before. GPS says 20 minutes, actual time 1 1/2 hours",scrollTriggerFade section UNDEFINED
244,Wonder if any of these celebs are writing off these “expenses” as a cost of business. Hence the short trips. That’ll be $20k in fuel plz 😁,scrollTriggerFade section UNDEFINED
245,They can do it they got money lol,scrollTriggerFade section RICH
246,You made me laugh with the straw 😂,scrollTriggerFade section EVERYDAY
247,"RULES FOR THEE, NOT FOR ME",scrollTriggerFade section RICH
248,I would do that too if I were rich,scrollTriggerFade section RICH
249,that saves 2 to 3 hours...she's got the money 💰 🤑,scrollTriggerFade section UNDEFINED
250,Possibly moving plane to pick up instead of actually moving those rich people? (I agree tho with ur point),scrollTriggerFade section RICH
251,like how this dude is crossing over ocean pollution and plastic waste with carbon emissions into the atmosphere. 🤣,scrollTriggerFade section UNDEFINED
252,"@Babey reminds me of you, ugh rich people",scrollTriggerFade section RICH
253,like you have to drive to the airport right just fuckin... stay in the car..??????,scrollTriggerFade section UNDEFINED
254,"I can’t stand these people but being from LA, that drive is about an hour or more in traffic 😅",scrollTriggerFade section UNDEFINED
255,who cares is her money everyone hating is bc they can't afford it 😂😂,scrollTriggerFade section RICH
256,This demonstrates in such a raw form the complete disconnect from reality that the elite isolate themselves in. Their private jets are only one of,scrollTriggerFade section RICH
257,Guess you’ve never been to La … traffic is horrible,scrollTriggerFade section EVERYDAY
258,"Boarding private jets is quick, you call em lil before you fly out and they get clearance before you get there so you just hop in and go",scrollTriggerFade section ROUTINE
259,And people makes these people rich and relevant smh,scrollTriggerFade section RICH
260,Y’all mad cuz they’re rich? 💀,scrollTriggerFade section RICH
261,"Not to be that guy, but then these ass hats preach about global warming as soon as they finish they hop on their jet and fly away.",scrollTriggerFade section ROUTINE
262,you mad at them not the law makers....smdh,scrollTriggerFade section RICH
263,flying for 3 min seems like more of a hassle than driving 20-30 min,scrollTriggerFade section CELEBRITIES
264,She could have driven from calabasas to camarillo in the same time she drove to Van nuys,scrollTriggerFade section CELEBRITIES
265,Sorry but if I’m that rich I’ll take a pj to go get a coffee. It’s they money why do you care how they spend it.Ppl need to stop worrying ab others,scrollTriggerFade section RICH
266,SharkWahlberg but make it celebrity flight patterns,scrollTriggerFade section UNDEFINED
267,"camarillo isn’t in la, it’s in ventura county",scrollTriggerFade section CELEBRITIES
268,@Kylie Jenner explain yourself,scrollTriggerFade section CELEBRITIES
269,I wish I had that sort of money too 😁😁,scrollTriggerFade section RICH
270,Also these planes fly other people around.,scrollTriggerFade section UNDEFINED
271,It’s called repositioning the plane,scrollTriggerFade section ROUTINE
272,And electric cars are gonna save the world from climate change right? 😂,scrollTriggerFade section UNDEFINED
273,"put your bags on lol, nah, other people do that for you homie. you get on the plane and go, doesn't matter",scrollTriggerFade section RICH
274,@Kylie Jenner is that you girl?,scrollTriggerFade section CELEBRITIES
275,actually camarillo is not part of LA i’d know i live here,scrollTriggerFade section CELEBRITIES
276,"Some of these short flights might actually be maintenance, not travel, but still. “SoME”",scrollTriggerFade section ROUTINE
277,SMH hells tax breaks,scrollTriggerFade section RICH
278,Does it not take longer to fly like that including deboarding and stuff?,scrollTriggerFade section ROUTINE
279,Camarillo to van nuys is a 20-25 min drive,scrollTriggerFade section CELEBRITIES
280,And yet people ignore that planes are the biggest contributor to co2. Kylie doesn't care about global warming lol,scrollTriggerFade section UNDEFINED
281,Jack Nicklaus owns the jet but doesn’t mean he’s flying in it… it’s probably one of his 5 kids,scrollTriggerFade section UNDEFINED
282,“It’s their money stop hating” 🫠🙄,scrollTriggerFade section RICH
283,"I don’t care how rich I am, I will never take a flight less than 2 hours",scrollTriggerFade section UNDEFINED
284,Bruh who cares most ppl driving 5 mins to somewhere that’s a 10 min walk damn,scrollTriggerFade section UNDEFINED
285,Don’t care it’s their money,scrollTriggerFade section RICH
286,Stop giving them your attention and money.,scrollTriggerFade section RICH
287,Don’t insult Camarillo by calling it “one end of LA” 😂,scrollTriggerFade section CELEBRITIES
288,Yes!!! Y’all STOP putting money in their pocketsnn,scrollTriggerFade section RICH
289,Yep and they’ll all leave to Mars when shit hits the fan 🥰,scrollTriggerFade section CELEBRITIES
290,The jack one seems the most normal to me,scrollTriggerFade section CELEBRITIES
291,They hold meetings in those planes and get shit done that otherwise can’t be discussed in offices or at home.,scrollTriggerFade section ROUTINE
292,Yes. Yes yes!!!!!!! Don’t come at me for not recycling when celebrities are out here doing this shit,scrollTriggerFade section UNDEFINED
293,Why yall so pressed that rich people spend thier own money,scrollTriggerFade section RICH
294,and people say we don't have money for education and Healthcare but this exists,scrollTriggerFade section RICH
295,isn’t flying safer than driving though?,scrollTriggerFade section UNDEFINED
296,I had a chick I was friends with on Facebook idolizing them. like she said the world is burning why not be like them 😐,scrollTriggerFade section POLLUTION
297,Double or triple any taxes they pay right now for flying plus make private aviation expenses non-tax deductible for their businesses,scrollTriggerFade section UNDEFINED
298,rich people... they don't contribute anything...,scrollTriggerFade section RICH
299,camarillo isn't la 💀,scrollTriggerFade section CELEBRITIES
300,"These are all good reasons for short flights , it’s minimizing carbon footprints . We are the experts. Leave the thinking to us",scrollTriggerFade section POLLUTION
301,@drake,scrollTriggerFade section CELEBRITIES
302,"Why do you care? I mean, live your life… I don’t get why this makes people so angry.",scrollTriggerFade section RICH
303,Rich people and corporations are the reason for the climate issues mainly. Not us citizens even with big trucks. They like to blame all of us.,scrollTriggerFade section UNDEFINED
304,Flying cars are here- we’re just poor AF.,scrollTriggerFade section EVERYDAY
305,"""take responsibility"" they tell us, while damaging the world in ways millions of poor people could never add up to. just...its exhausting.",scrollTriggerFade section UNDEFINED
306,"so then actually do something about it! and if you can't, then recycle&use compostable straws, bc that's what you can control m",scrollTriggerFade section EVERYDAY
307,bro when i was doing pattern work in a c172 it took me more than 3 minutes to do a lap. that’s crazy,scrollTriggerFade section CELEBRITIES
308,@Kylie Jenner,scrollTriggerFade section CELEBRITIES
